Kode PT    Nama PT                                             Total   Done   Sisa
----------------------------------------------------------------------------------
011003     UNIVERSITAS MUHAMMADIYAH SUMATERA UTARA               496      0    496 ✗
011014     UNIVERSITAS MUHAMMADIYAH TAPANULI SELATAN             179      0    179 ✗
011071     UNIVERSITAS MUHAMMADIYAH ASAHAN                        52      0     52 ✗
021001     UNIVERSITAS MUHAMMADIYAH PALEMBANG                    364      0    364 ✗
021002     UNIVERSITAS MUHAMMADIYAH LAMPUNG                      117      0    117 ✗
021004     UNIVERSITAS MUHAMMADIYAH METRO                        168      0    168 ✗
021010     UNIVERSITAS MUHAMMADIYAH BENGKULU                     249      0    249 ✗
021034     UNIVERSITAS MUHAMMADIYAH PRINGSEWU LAMPUNG            161      0    161 ✗
021035     UNIVERSITAS MUHAMMADIYAH KOTABUMI                     110      0    110 ✗
021036     UNIVERSITAS MUHAMMADIYAH BANGKA BELITUNG               92      0     92 ✗
021049     UNIVERSITAS MUHAMMADIYAH KALIANDA                      37      0     37 ✗
021052     UNIVERSITAS MUHAMMADIYAH AHMAD DAHLAN PALEMBANG        93      0     93 ✗
021053     UNIVERSITAS AISYIYAH PALEMBANG                         67      0     67 ✗
022013     INSTITUT TEKNOLOGI MUHAMMADIYAH SUMATERA               28      0     28 ✗
023061     SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN MUHAM      27      0     27 ✗
031011     UNIVERSITAS MUHAMMADIYAH JAKARTA                      534      0    534 ✗
031039     UNIVERSITAS MUHAMMADIYAH PROF DR HAMKA                531      0    531 ✗
031073     UNIVERSITAS SAINTEK MUHAMMADIYAH                       56      0     56 ✗
031077     UNIVERSITAS TEKNOLOGI MUHAMMADIYAH JAKARTA             56      0     56 ✗
032023     INSTITUT TEKNOLOGI DAN BISNIS AHMAD DAHLAN             97      0     97 ✗
041018     UNIVERSITAS ISLAM 45                                  227      0    227 ✗
041029     UNIVERSITAS MUHAMMADIYAH CIREBON                      209      0    209 ✗
041040     UNIVERSITAS MUHAMMADIYAH SUKABUMI                     189      0    189 ✗
041051     UNIVERSITAS MUHAMMADIYAH TANGERANG                    366      0    366 ✗
041061     UNIVERSITAS MUHAMMADIYAH TASIKMALAYA                  130      0    130 ✗
041064     UNIVERSITAS MUHAMMADIYAH BANDUNG                      210      0    210 ✗
041080     UNIVERSITAS MUHAMMADIYAH BANTEN                        49      0     49 ✗
041087     UNIVERSITAS 'AISYIYAH BANDUNG                          68      0     68 ✗
041101     UNIVERSITAS MUHAMMADIYAH A.R. FACHRUDDIN               92      0     92 ✗
041113     UNIVERSITAS MUHAMMADIYAH BOGOR RAYA                    85      0     85 ✗
041136     UNIVERSITAS MUHAMMADIYAH KUNINGAN                     121      0    121 ✗
041137     UNIVERSITAS MUHAMMADIYAH CILEUNGSI                     45      0     45 ✗
041138     UNIVERSITAS MUHAMMADIYAH AHMAD DAHLAN CIREBON          82      0     82 ✗
043277     STIKES MUHAMMADIYAH CIAMIS                             55      0     55 ✗
045045     POLITEKNIK KESEHATAN AISYIYAH BANTEN                   32      0     32 ✗
051007     UNIVERSITAS MUHAMMADIYAH YOGYAKARTA                   404      0    404 ✗
051013     UNIVERSITAS AHMAD DAHLAN                              625      0    625 ✗
051022     UNIVERSITAS AISYIYAH YOGYAKARTA                       239      0    239 ✗
051027     UNIVERSITAS SIBER MUHAMMADIYAH                         36      0     36 ✗
061004     UNIVERSITAS MUHAMMADIYAH MAGELANG                     182      0    182 ✗
061008     UNIVERSITAS MUHAMMADIYAH SURAKARTA                    763      6    757 ~
061019     UNIVERSITAS MUHAMMADIYAH PURWOKERTO                   442      0    442 ✗
061025     UNIVERSITAS MUHAMMADIYAH PURWOREJO                    134      0    134 ✗
061026     UNIVERSITAS MUHAMMADIYAH SEMARANG                     360      0    360 ✗
061050     UNIVERSITAS MUHAMMADIYAH KUDUS                         97      0     97 ✗
061052     UNIVERSITAS MUHAMMADIYAH PEKAJANGAN PEKALONGAN        134      0    134 ✗
061057     UNIVERSITAS 'AISYIYAH SURAKARTA                        91      0     91 ✗
061061     UNIVERSITAS MUHAMMADIYAH GOMBONG                      100      0    100 ✗
061066     UNIVERSITAS MUHAMMADIYAH KLATEN                       106      0    106 ✗
061067     UNIVERSITAS MUHAMMADIYAH KENDAL BATANG                 75      0     75 ✗
061070     UNIVERSITAS MUHAMMADIYAH KARANGANYAR                  104      0    104 ✗
061076     UNIVERSITAS MUHAMMADIYAH TEGAL                         65      0     65 ✗
061077     UNIVERSITAS MUHAMMADIYAH BREBES                        57      0     57 ✗
061081     UNIVERSITAS MUHAMMADIYAH PKU SURAKARTA                 84      0     84 ✗
062009     INSTITUT TEKNOLOGI DAN BISNIS MUHAMMADIYAH PURBAL      26      0     26 ✗
062010     INSTITUT TEKNOLOGI STATISTIKA DAN BISNIS MUHAMMAD      26      0     26 ✗
062013     INSTITUT TEKNOLOGI DAN BISNIS MUHAMMADIYAH GROBOG      18      0     18 ✗
063064     SEKOLAH TINGGI ILMU EKONOMI MUHAMMADIYAH CILACAP       20      0     20 ✗
063105     STKIP MUHAMMADIYAH BLORA                               10      0     10 ✗
063114     SEKOLAH TINGGI ILMU KESEHATAN MUHAMMADIYAH WONOSO       8      0      8 ✗
064167     AKADEMI KESEHATAN MUHAMMADIYAH TEMANGGUNG               7      0      7 ✗
071012     UNIVERSITAS MUHAMMADIYAH SURABAYA                     370      0    370 ✗
071024     UNIVERSITAS MUHAMMADIYAH MALANG                       658      0    658 ✗
071032     UNIVERSITAS MUHAMMADIYAH JEMBER                       288      0    288 ✗
071044     UNIVERSITAS MUHAMMADIYAH PONOROGO                     212      0    212 ✗
071059     UNIVERSITAS MUHAMMADIYAH GRESIK                       250      0    250 ✗
